Frequency [Hz],Amplitude [V/nT],phase [degrees]
1.457197,0.9947319,-4.194583
1.489476,0.9955533,-4.728684
1.522471,0.9963754,-5.262786
1.556197,0.9971982,-5.796887
1.59067,0.9980215,-6.330989
1.625906,0.9988259,-6.865483
1.661923,0.9989507,-7.413519
1.698738,0.9990754,-7.961555
1.736368,0.9992002,-8.509591
1.774832,0.9993249,-9.057628
1.814148,0.9994497,-9.605663
1.854335,0.9995745,-10.1537
1.895412,0.9996993,-10.70174
1.937399,0.9998242,-11.24977
1.980316,0.99998,-11.8017
2.024184,1.000521,-12.40203
2.069023,1.001062,-13.00237
2.114856,1.001604,-13.6027
2.161704,1.002146,-14.20303
2.20959,1.002688,-14.80336
2.258537,1.003231,-15.40369
2.308568,1.003774,-16.00402
2.359707,1.004317,-16.60435
2.411979,1.004811,-17.2133
2.465409,1.00495,-17.88502
2.520022,1.005088,-18.55673
2.575846,1.005227,-19.22844
2.632906,1.005365,-19.90015
2.69123,1.005504,-20.57186
2.750846,1.005642,-21.24358
2.811782,1.005781,-21.91529
2.874068,1.00592,-22.587
2.937735,1.006049,-23.28124
3.002811,1.00613,-24.08787
3.069329,1.006211,-24.89449
3.137321,1.006292,-25.70111
3.206818,1.006373,-26.50774
3.277856,1.006454,-27.31436
3.350466,1.006535,-28.12098
3.424686,1.006616,-28.92761
3.500549,1.006697,-29.73423
3.578093,1.006788,-30.56745
3.657355,1.006913,-31.49881
3.738372,1.007039,-32.43016
3.821184,1.007165,-33.36152
3.905831,1.007291,-34.29287
3.992352,1.007417,-35.22422
4.080791,1.007543,-36.15557
4.171188,1.007669,-37.08693
4.263588,1.007795,-38.01828
4.358035,1.007848,-39.00937
4.454573,1.007692,-40.17088
4.553251,1.007535,-41.33239
4.654114,1.007379,-42.4939
4.757212,1.007223,-43.65541
4.862593,1.007067,-44.81693
4.970309,1.006911,-45.97844
5.08041,1.006755,-47.13995
5.192951,1.006599,-48.30146
5.307985,1.006239,-49.55585
5.425567,1.005417,-51.02108
5.545754,1.004595,-52.48629
5.668603,1.003774,-53.95152
5.794174,1.002953,-55.41674
5.922526,1.002134,-56.88196
6.053721,1.001314,-58.34718
6.187823,1.000496,-59.8124
6.324895,0.9996781,-61.27762
6.465003,0.9983523,-62.88612
6.608216,0.9960943,-64.75826
6.754601,0.9938414,-66.63041
6.904228,0.9915935,-68.50256
7.057169,0.9893507,-70.3747
7.2135,0.987113,-72.24685
7.373292,0.9848804,-74.11899
7.536625,0.9826529,-75.99113
7.703576,0.9804303,-77.86328
7.874225,0.9762021,-79.95781
8.048654,0.9689767,-82.38815
8.226947,0.9618047,-84.8185
8.40919,0.9546859,-87.24885
8.595469,0.9476197,-89.6792
8.785875,0.9406058,-92.10955
8.9805,0.9336439,-94.53989
9.179435,0.9267334,-96.97025
9.382777,0.9198741,-99.40059
9.590624,0.9080724,-102.0924
9.803075,0.8903037,-105.1109
10.02023,0.8728828,-108.1294
10.2422,0.8558028,-111.1478
10.46908,0.8390569,-114.1663
10.70099,0.8226387,-117.1847
10.93804,0.8065419,-120.2032
11.18034,0.7907599,-123.2217
11.42801,0.7752868,-126.2401
11.68116,0.7532732,-129.3233
11.93992,0.7250537,-132.4737
12.20441,0.6978914,-135.6241
12.47476,0.6717466,-138.7745
12.7511,0.6465812,-141.9249
13.03356,0.6223586,-145.0753
13.32228,0.5990435,-148.2257
13.6174,0.5766018,-151.3761
13.91905,0.5550008,-154.5265
14.22738,0.5296741,-157.4353
14.54254,0.5018041,-160.136
14.86469,0.4754006,-162.8366
15.19397,0.4503863,-165.5373
15.53055,0.4266883,-168.238
15.87458,0.4042372,-170.9386
16.22623,0.3829674,-173.6393
16.58567,0.3628167,-176.34
16.95308,0.3437263,-179.0406
17.32862,0.3241589,-181.3866
17.71248,0.304712,-183.4794
18.10485,0.2864318,-185.5722
18.50591,0.2692482,-187.665
18.91585,0.2530955,-189.7578
19.33487,0.2379118,-191.8506
19.76317,0.223639,-193.9434
20.20097,0.2102225,-196.0361
20.64846,0.1976108,-198.1289
21.10586,0.185417,-199.9007
21.57339,0.1737889,-201.4837
22.05129,0.16289,-203.0667
22.53977,0.1526747,-204.6497
23.03906,0.1431,-206.2327
23.54943,0.1341258,-207.8157
24.07109,0.1257143,-209.3987
24.60431,0.1178304,-210.9817
25.14934,0.1104409,-212.5647
25.70645,0.1034829,-213.8974
26.2759,0.096949,-215.1101
26.85796,0.09082765,-216.3228
27.45292,0.0850928,-217.5355
28.06105,0.07972004,-218.7482
28.68266,0.07468652,-219.9608
29.31803,0.06997082,-221.1736
29.96748,0.06555287,-222.3862
30.63132,0.06141386,-223.5989
31.30986,0.05750622,-224.6217
32.00344,0.05383643,-225.5714
32.71237,0.05040083,-226.5211
33.43702,0.04718447,-227.4708
34.17771,0.04417337,-228.4205
34.93481,0.04135442,-229.3702
35.70868,0.03871537,-230.3199
36.4997,0.03624472,-231.2696
37.30824,0.03393175,-232.2193
38.13469,0.03176025,-233.0071
38.97945,0.029726,-233.7461
39.84291,0.02782204,-234.4851
40.72551,0.02604003,-235.2241
41.62766,0.02437216,-235.9631
42.54979,0.02281111,-236.7021
43.49235,0.02135005,-237.4411
44.45579,0.01998257,-238.1801
45.44057,0.01870269,-238.9191
46.44717,0.01750974,-239.5766
47.47606,0.01639394,-240.2155
48.52775,0.01534925,-240.8544
49.60273,0.01437113,-241.4933
50.70153,0.01345534,-242.1323
51.82467,0.01259791,-242.7712
52.97268,0.01179511,-243.4101
54.14613,0.01104348,-244.049
55.34557,0.01033974,-244.688
56.57158,0.009686808,-245.2584
57.82475,0.009076008,-245.8178
59.10568,0.00850372,-246.3772
60.41498,0.007967518,-246.9366
61.75329,0.007465126,-247.496
63.12124,0.006994413,-248.0554
64.5195,0.006553381,-248.6148
65.94873,0.006140158,-249.1741
67.40962,0.00575299,-249.7335
68.90288,0.00539328,-250.1002
70.42921,0.005056352,-250.4473
71.98935,0.004740474,-250.7943
73.58405,0.004444328,-251.1413
75.21408,0.004166683,-251.4884
76.88022,0.003906383,-251.8354
78.58326,0.003662345,-252.1825
80.32404,0.003433552,-252.5295
82.10336,0.003219052,-252.8765
83.92211,0.003014078,-253.3445
85.78115,0.002821981,-253.8183
87.68137,0.002642126,-254.2922
89.62367,0.002473734,-254.766
91.60901,0.002316075,-255.2398
93.63833,0.002168463,-255.7137
95.7126,0.002030259,-256.1875
97.83282,0.001900864,-256.6614
100,0.001779715,-257.1352
